[2026-04-27 19:57:26] ======================================================================
[2026-04-27 19:57:26] RLD-Engine Start: Recursive Log-Decomposition
[2026-04-27 19:57:26] G-List: [16, 17, 18, 19, 20, 25, 30, 50, 100, 999, 1500], Log-Mode Output: false
[2026-04-27 19:57:26] ======================================================================
[2026-04-27 19:57:26] >>> Starting Global Loop [1 / 5]
[2026-04-27 19:57:26]     (Loop 1, g=16) Result: -8.202263e+05 + -7.667577e+05i, Time: 0.1660s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=18) Result: 6.826923e+06 + 3.565584e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=19) Result: 2.944334e+06 + 4.744859e+05i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=20) Result: -1.245081e+07 + 1.290982e+07i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=25) Result: -4.962046e+08 + 1.272084e+09i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=30) Result: -7.628207e+11 + -9.244282e+11i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=50) Result: -2.413856e+21 + 4.774463e+20i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=100) Result: -8.049432e+41 + -8.342130e+39i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=999) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1043.456753 + 50.289802i, Time: 0.0830s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 2, g=1500) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1517.382424 + -14.846655i, Time: 0.1060s, LogErr: N/A
[2026-04-27 19:57:27] >>> Starting Global Loop [3 / 5]
[2026-04-27 19:57:27]     (Loop 3, g=16) Result: -1.716651e+08 + -4.761237e+08i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=17) Result: -7.224909e+08 + -1.773027e+09i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=18) Result: 2.008728e+09 + -1.307916e+09i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=19) Result: 8.022480e+09 + -4.356333e+09i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=20) Result: -1.661030e+10 + -1.883971e+10i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=25) Result: 1.566979e+12 + -1.014738e+12i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=30) Result: 7.176044e+12 + 3.791870e+12i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=50) Result: -5.785937e+18 + 6.013189e+18i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:27]     (Loop 3, g=100) Result: -3.420668e+36 + 1.352776e+38i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 3, g=999) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 995.499998 + 10.260794i, Time: 0.0200s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 3, g=1500) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1472.952941 + 11.966773i, Time: 0.1340s, LogErr: N/A
[2026-04-27 19:57:28] >>> Starting Global Loop [4 / 5]
[2026-04-27 19:57:28]     (Loop 4, g=16) Result: 1.443129e+06 + -1.145962e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=17) Result: 5.767749e+06 + 1.819234e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=18) Result: 9.864689e+06 + -2.256110e+07i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=19) Result: 2.535083e+05 + 3.168303e+07i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=20) Result: -3.109140e+07 + 6.046662e+07i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=25) Result: 3.776265e+09 + -1.155823e+09i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=30) Result: -2.875936e+12 + 5.190444e+11i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=50) Result: 1.101775e+22 + -1.233782e+22i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=100) Result: -4.599266e+47 + 6.061576e+47i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=999) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1019.517965 + -106.115405i, Time: 0.0130s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 4, g=1500) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1509.507737 + -80.500893i, Time: 0.1230s, LogErr: N/A
[2026-04-27 19:57:28] >>> Starting Global Loop [5 / 5]
[2026-04-27 19:57:28]     (Loop 5, g=16) Result: 7.178954e+08 + -1.620967e+08i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=17) Result: 5.927565e+08 + -1.237289e+09i, Time: 0.0010s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=18) Result: 3.602340e+08 + -2.835197e+09i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=19) Result: 4.526679e+09 + 1.077546e+10i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=20) Result: -3.377484e+10 + -3.386324e+10i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=25) Result: 3.214605e+13 + 2.449491e+13i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=30) Result: -5.274474e+15 + 7.028761e+14i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=50) Result: -2.038134e+22 + -7.982276e+21i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=100) Result: -2.694859e+44 + 5.157191e+45i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=999) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 982.598825 + -6.843475i, Time: 0.0040s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 5, g=1500) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1478.718341 + 39.538224i, Time: 0.0290s, LogErr: N/A
[2026-04-27 19:57:28] >>> Starting Global Loop [6 / 5]
[2026-04-27 19:57:28]     (Loop 6, g=16) Result: -3.398940e+05 + 1.233738e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=17) Result: 8.704829e+06 + -5.535138e+06i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=18) Result: -1.775247e+07 + -2.215082e+07i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=19) Result: -1.467825e+08 + -1.412685e+08i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=20) Result: 8.627486e+08 + 2.451422e+08i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=25) Result: 1.554571e+12 + -5.702687e+12i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=30) Result: -7.240475e+15 + 2.877777e+16i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=50) Result: 3.582476e+27 + -3.235594e+27i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=100) Result: -7.856344e+49 + 1.043445e+50i, Time: 0.0000s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=999) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 975.567783 + 9.567549i, Time: 0.0050s, LogErr: N/A
[2026-04-27 19:57:28]     (Loop 6, g=1500) Result: 数字が大きすぎて10進に戻せません。対数結果を表示します: Log = 1449.309758 + 79.496024i, Time: 0.0590s, LogErr: N/A
[2026-04-27 19:57:28] All log-reconstruction experiments completed.
